scenario,alpha,effect,effect_sd,R,power_H1,power_H2
primary,0.05,small,0.2,1,0.19,0.137
primary,0.05,small,0.2,2,0.24,0.197
primary,0.05,small,0.2,3,0.349,0.251
primary,0.05,small,0.2,5,0.422,0.315
primary,0.05,small,0.2,8,0.475,0.396
primary,0.05,small,0.2,10,0.504,0.441
primary,0.05,medium,0.5,1,0.613,0.42
primary,0.05,medium,0.5,2,0.814,0.616
primary,0.05,medium,0.5,3,0.915,0.754
primary,0.05,medium,0.5,5,0.969,0.898
primary,0.05,medium,0.5,8,0.985,0.959
primary,0.05,medium,0.5,10,0.993,0.973
primary,0.05,large,0.8,1,0.933,0.76
primary,0.05,large,0.8,2,0.995,0.946
primary,0.05,large,0.8,3,0.999,0.995
primary,0.05,large,0.8,5,1.0,0.999
primary,0.05,large,0.8,8,1.0,1.0
primary,0.05,large,0.8,10,1.0,1.0
primary,0.0125_bonf4,small,0.2,1,0.059,0.049
primary,0.0125_bonf4,small,0.2,2,0.09,0.071
primary,0.0125_bonf4,small,0.2,3,0.127,0.098
primary,0.0125_bonf4,small,0.2,5,0.174,0.133
primary,0.0125_bonf4,small,0.2,8,0.243,0.192
primary,0.0125_bonf4,small,0.2,10,0.256,0.228
primary,0.0125_bonf4,medium,0.5,1,0.407,0.219
primary,0.0125_bonf4,medium,0.5,2,0.604,0.353
primary,0.0125_bonf4,medium,0.5,3,0.758,0.541
primary,0.0125_bonf4,medium,0.5,5,0.871,0.706
primary,0.0125_bonf4,medium,0.5,8,0.948,0.86
primary,0.0125_bonf4,medium,0.5,10,0.966,0.914
primary,0.0125_bonf4,large,0.8,1,0.764,0.51
primary,0.0125_bonf4,large,0.8,2,0.966,0.821
primary,0.0125_bonf4,large,0.8,3,0.994,0.94
primary,0.0125_bonf4,large,0.8,5,1.0,0.988
primary,0.0125_bonf4,large,0.8,8,1.0,0.999
primary,0.0125_bonf4,large,0.8,10,1.0,1.0
primary,0.01_bonf5,small,0.2,1,0.068,0.04
primary,0.01_bonf5,small,0.2,2,0.092,0.054
primary,0.01_bonf5,small,0.2,3,0.118,0.085
primary,0.01_bonf5,small,0.2,5,0.179,0.119
primary,0.01_bonf5,small,0.2,8,0.203,0.153
primary,0.01_bonf5,small,0.2,10,0.247,0.19
primary,0.01_bonf5,medium,0.5,1,0.335,0.185
primary,0.01_bonf5,medium,0.5,2,0.593,0.356
primary,0.01_bonf5,medium,0.5,3,0.724,0.498
primary,0.01_bonf5,medium,0.5,5,0.835,0.688
primary,0.01_bonf5,medium,0.5,8,0.934,0.845
primary,0.01_bonf5,medium,0.5,10,0.948,0.87
primary,0.01_bonf5,large,0.8,1,0.771,0.491
primary,0.01_bonf5,large,0.8,2,0.963,0.797
primary,0.01_bonf5,large,0.8,3,0.992,0.926
primary,0.01_bonf5,large,0.8,5,1.0,0.989
primary,0.01_bonf5,large,0.8,8,1.0,0.998
primary,0.01_bonf5,large,0.8,10,1.0,1.0
