scenario,N,R,power_H2_medium,gpu_hours,meets_80
primary,30,3,0.516,6.5,False
primary,30,5,0.71,10.8,False
primary,30,8,0.87,17.2,True
primary,45,3,0.743,9.7,False
primary,45,5,0.912,16.1,True
primary,45,8,0.977,25.8,True
primary,60,3,0.859,12.9,True
primary,60,5,0.965,21.5,True
primary,60,8,0.995,34.4,True
low_noise,30,3,0.818,6.5,True
low_noise,30,5,0.91,10.8,True
low_noise,30,8,0.964,17.2,True
low_noise,45,3,0.945,9.7,True
low_noise,45,5,0.988,16.1,True
low_noise,45,8,0.998,25.8,True
low_noise,60,3,0.981,12.9,True
low_noise,60,5,0.999,21.5,True
low_noise,60,8,1.0,34.4,True
high_slopevar,30,3,0.445,6.5,False
high_slopevar,30,5,0.601,10.8,False
high_slopevar,30,8,0.723,17.2,False
high_slopevar,45,3,0.675,9.7,False
high_slopevar,45,5,0.822,16.1,True
high_slopevar,45,8,0.899,25.8,True
high_slopevar,60,3,0.807,12.9,True
high_slopevar,60,5,0.902,21.5,True
high_slopevar,60,8,0.961,34.4,True
low_slopevar,30,3,0.596,6.5,False
low_slopevar,30,5,0.812,10.8,True
low_slopevar,30,8,0.947,17.2,True
low_slopevar,45,3,0.803,9.7,True
low_slopevar,45,5,0.968,16.1,True
low_slopevar,45,8,0.994,25.8,True
low_slopevar,60,3,0.902,12.9,True
low_slopevar,60,5,0.99,21.5,True
low_slopevar,60,8,1.0,34.4,True
