scenario,sigma_e,sigma_s,sigma_sc,effect,alpha,R,power_H1,power_H2
primary,1.0,0.1,0.08,medium,0.0125_bonf4,1,0.369,0.213
primary,1.0,0.1,0.08,medium,0.0125_bonf4,2,0.63,0.401
primary,1.0,0.1,0.08,medium,0.0125_bonf4,3,0.74,0.514
primary,1.0,0.1,0.08,medium,0.0125_bonf4,5,0.879,0.718
primary,1.0,0.1,0.08,medium,0.0125_bonf4,8,0.96,0.878
primary,1.0,0.1,0.08,medium,0.0125_bonf4,10,0.961,0.909
low_noise,0.7,0.1,0.08,medium,0.0125_bonf4,1,0.634,0.374
low_noise,0.7,0.1,0.08,medium,0.0125_bonf4,2,0.846,0.682
low_noise,0.7,0.1,0.08,medium,0.0125_bonf4,3,0.926,0.807
low_noise,0.7,0.1,0.08,medium,0.0125_bonf4,5,0.96,0.918
low_noise,0.7,0.1,0.08,medium,0.0125_bonf4,8,0.981,0.974
low_noise,0.7,0.1,0.08,medium,0.0125_bonf4,10,0.989,0.983
high_slopevar,1.0,0.15,0.12,medium,0.0125_bonf4,1,0.325,0.198
high_slopevar,1.0,0.15,0.12,medium,0.0125_bonf4,2,0.502,0.352
high_slopevar,1.0,0.15,0.12,medium,0.0125_bonf4,3,0.583,0.449
high_slopevar,1.0,0.15,0.12,medium,0.0125_bonf4,5,0.666,0.604
high_slopevar,1.0,0.15,0.12,medium,0.0125_bonf4,8,0.744,0.721
high_slopevar,1.0,0.15,0.12,medium,0.0125_bonf4,10,0.763,0.773
low_slopevar,1.0,0.05,0.04,medium,0.0125_bonf4,1,0.405,0.202
low_slopevar,1.0,0.05,0.04,medium,0.0125_bonf4,2,0.703,0.406
low_slopevar,1.0,0.05,0.04,medium,0.0125_bonf4,3,0.874,0.612
low_slopevar,1.0,0.05,0.04,medium,0.0125_bonf4,5,0.983,0.829
low_slopevar,1.0,0.05,0.04,medium,0.0125_bonf4,8,0.999,0.956
low_slopevar,1.0,0.05,0.04,medium,0.0125_bonf4,10,0.998,0.981
