disorder,level,level_num,p_pred,p_obs,n_obs,p_obs_mistral-small3.1:24b,n_mistral-small3.1:24b,p_obs_qwen2.5:32b,n_qwen2.5:32b
DN_plausible,L1_forum,1,0.5453321360681692,0.49025069637883006,359,0.5611111111111111,180,0.41899441340782123,179
DN_plausible,L2_coach_blog,2,0.5356187370961333,0.6222222222222222,360,0.6888888888888889,180,0.5555555555555556,180
DN_plausible,L3_wiki,3,0.5258782405515731,0.49444444444444446,360,0.6111111111111112,180,0.37777777777777777,180
DN_plausible,L4_preprint,4,0.5161180092920898,0.5388888888888889,360,0.5666666666666667,180,0.5111111111111111,180
DN_plausible,L5_pseudodsm,5,0.5063454662588904,0.48333333333333334,360,0.6055555555555555,180,0.3611111111111111,180
real_anchor,L1_forum,1,0.2995122765156581,0.32386363636363635,352,0.4715909090909091,176,0.17613636363636365,176
real_anchor,L2_coach_blog,2,0.30837952955438236,0.3050847457627119,354,0.44886363636363635,176,0.16292134831460675,178
real_anchor,L3_wiki,3,0.31739035540806554,0.25069637883008355,359,0.4245810055865922,179,0.07777777777777778,180
real_anchor,L4_preprint,4,0.32654016507320766,0.3743016759776536,358,0.45,180,0.29775280898876405,178
real_anchor,L5_pseudodsm,5,0.3358239791546886,0.3342618384401114,359,0.46111111111111114,180,0.20670391061452514,179
incoherent,L1_forum,1,0.18647082186390063,0.07242339832869081,359,0.11731843575418995,179,0.027777777777777776,180
incoherent,L2_coach_blog,2,0.25715827364997396,0.43175487465181056,359,0.5777777777777777,180,0.2849162011173184,179
incoherent,L3_wiki,3,0.3433331633021531,0.233983286908078,359,0.39444444444444443,180,0.07262569832402235,179
incoherent,L4_preprint,4,0.441232940032495,0.5949008498583569,353,0.6914285714285714,175,0.5,178
incoherent,L5_pseudodsm,5,0.5439254783619422,0.441340782122905,358,0.6759776536312849,179,0.20670391061452514,179
DN_flagged,L1_forum,1,0.5088998800685925,0.4722222222222222,360,0.5333333333333333,180,0.4111111111111111,180
DN_flagged,L2_coach_blog,2,0.49777557690515617,0.5555555555555556,360,0.6,180,0.5111111111111111,180
DN_flagged,L3_wiki,3,0.4866534755304442,0.45555555555555555,360,0.55,180,0.3611111111111111,180
DN_flagged,L4_preprint,4,0.47554457572705067,0.5111111111111111,360,0.5611111111111111,180,0.46111111111111114,180
DN_flagged,L5_pseudodsm,5,0.4644598251020897,0.4388888888888889,360,0.5277777777777778,180,0.35,180
