scope,disorder,level,level_num,n,k_diagnosis1,p,ci95_lo,ci95_hi
aggregate,DN_plausible,L1_forum,1,359,176,0.49025069637883006,0.4389157084527686,0.5417921265915041
aggregate,DN_plausible,L2_coach_blog,2,360,224,0.6222222222222222,0.5710965108372937,0.6707669814076832
aggregate,DN_plausible,L3_wiki,3,360,178,0.49444444444444446,0.44312910351022095,0.5458771013877347
aggregate,DN_plausible,L4_preprint,4,360,194,0.5388888888888889,0.4872551358533938,0.5897014298609169
aggregate,DN_plausible,L5_pseudodsm,5,360,174,0.48333333333333334,0.432160419621612,0.5348581950722547
aggregate,real_anchor,L1_forum,1,352,114,0.32386363636363635,0.277106771091139,0.374423572747243
aggregate,real_anchor,L2_coach_blog,2,354,108,0.3050847457627119,0.25942386748679047,0.35493064020599874
aggregate,real_anchor,L3_wiki,3,359,90,0.25069637883008355,0.20866137768489834,0.29801040416150515
aggregate,real_anchor,L4_preprint,4,358,134,0.3743016759776536,0.32575398048430404,0.4255183994742191
aggregate,real_anchor,L5_pseudodsm,5,359,120,0.3342618384401114,0.2874456846702863,0.3845875110823507
aggregate,incoherent,L1_forum,1,359,26,0.07242339832869081,0.04989957865664198,0.10400118685646347
aggregate,incoherent,L2_coach_blog,2,359,155,0.43175487465181056,0.3815058940483102,0.4834489512615991
aggregate,incoherent,L3_wiki,3,359,84,0.233983286908078,0.1931466698734623,0.2804528291916945
aggregate,incoherent,L4_preprint,4,353,210,0.5949008498583569,0.5429333594462429,0.6448250185007229
aggregate,incoherent,L5_pseudodsm,5,358,158,0.441340782122905,0.3907966077163028,0.49313050293100796
aggregate,DN_flagged,L1_forum,1,360,170,0.4722222222222222,0.4212168838230278,0.5238141406667501
aggregate,DN_flagged,L2_coach_blog,2,360,200,0.5555555555555556,0.503906596992823,0.6060313540276211
aggregate,DN_flagged,L3_wiki,3,360,164,0.45555555555555555,0.4048489050094042,0.5072007341742405
aggregate,DN_flagged,L4_preprint,4,360,184,0.5111111111111111,0.45962921142968316,0.5623583787744055
aggregate,DN_flagged,L5_pseudodsm,5,360,158,0.4388888888888889,0.3885380945246225,0.490530159352889
mistral-small3.1:24b,DN_plausible,L1_forum,1,180,101,0.5611111111111111,0.48808695992673246,0.6315812762069827
mistral-small3.1:24b,DN_plausible,L2_coach_blog,2,180,124,0.6888888888888889,0.6179038880110056,0.7519797509477503
mistral-small3.1:24b,DN_plausible,L3_wiki,3,180,110,0.6111111111111112,0.5382806192890348,0.6792979918631745
mistral-small3.1:24b,DN_plausible,L4_preprint,4,180,102,0.5666666666666667,0.4936277117723227,0.6369194549190029
mistral-small3.1:24b,DN_plausible,L5_pseudodsm,5,180,109,0.6055555555555555,0.5326667296266275,0.6740329509679713
mistral-small3.1:24b,real_anchor,L1_forum,1,176,83,0.4715909090909091,0.3992362371615344,0.5451592753339061
mistral-small3.1:24b,real_anchor,L2_coach_blog,2,176,79,0.44886363636363635,0.3772538936604555,0.5226580288313372
mistral-small3.1:24b,real_anchor,L3_wiki,3,179,76,0.4245810055865922,0.35450224398494795,0.49782895416689493
mistral-small3.1:24b,real_anchor,L4_preprint,4,180,81,0.45,0.3791218435422471,0.5229677814392588
mistral-small3.1:24b,real_anchor,L5_pseudodsm,5,180,83,0.46111111111111114,0.38986043427535044,0.5339870518213765
